threshold,precision,recall,f1,f2
0.44000000000000006,0.8373382624768947,0.8830409356725146,0.8595825426944972,0.8735055919784034
0.45000000000000007,0.8395522388059702,0.8771929824561403,0.8579599618684461,0.8693972179289027
0.4600000000000001,0.8449905482041588,0.8713450292397661,0.8579654510556622,0.865943432777993
0.4700000000000001,0.8462998102466793,0.8693957115009746,0.8576923076923076,0.8646762310973245
0.4800000000000001,0.8486590038314177,0.8635477582846004,0.8560386473429952,0.8605283605283606
0.49000000000000005,0.8477842003853564,0.8576998050682261,0.8527131782945736,0.8556981719175418
0.5000000000000001,0.8482490272373541,0.8499025341130604,0.8490749756572541,0.8495713172252534
0.5100000000000001,0.8490196078431372,0.8440545808966862,0.8465298142717498,0.8450429352068697
0.5200000000000001,0.8611670020120724,0.834307992202729,0.8475247524752475,0.8395449195763044
0.5300000000000001,0.8661257606490872,0.8323586744639376,0.8489065606361829,0.8388998035363457
0.5400000000000001,0.8688524590163934,0.8265107212475633,0.8471528471528471,0.8346456692913385
0.5500000000000002,0.8721649484536083,0.8245614035087719,0.8476953907815631,0.833661805281829
0.5600000000000002,0.8786610878661087,0.8187134502923976,0.8476286579212916,0.8300395256916996
0.5700000000000002,0.881104033970276,0.8089668615984406,0.8434959349593496,0.8224336107808164
0.5800000000000002,0.8903225806451613,0.8070175438596491,0.8466257668711656,0.8224076281287247
0.5900000000000002,0.9035087719298246,0.8031189083820662,0.8503611971104231,0.8213716108452951
0.6000000000000002,0.9129464285714286,0.797270955165692,0.8511966701352758,0.818
0.6100000000000001,0.9119638826185101,0.7875243664717348,0.8451882845188284,0.8096192384769539
0.6200000000000001,0.9105504587155964,0.7738791423001949,0.8366701791359326,0.7978295819935691
0.6300000000000001,0.9107981220657277,0.7563352826510721,0.8264110756123536,0.7828894269572235
0.6400000000000001,0.9121140142517815,0.7485380116959064,0.8222698072805139,0.7763849575414477
0.6500000000000001,0.9110576923076923,0.7387914230019493,0.8159311087190527,0.7678282009724473
0.6600000000000001,0.9164619164619164,0.7270955165692008,0.8108695652173913,0.7584383895892639
0.6700000000000002,0.9152119700748129,0.7153996101364523,0.8030634573304157,0.7480635955972279
0.6800000000000002,0.9207161125319693,0.7017543859649122,0.7964601769911505,0.7367990176013098
0.6900000000000002,0.9244791666666666,0.6920077972709552,0.7915273132664437,0.7286535303776683
0.7000000000000002,0.9253333333333333,0.6764132553606238,0.7815315315315315,0.7148743304491141
0.7100000000000002,0.9232876712328767,0.6569200779727096,0.7676537585421412,0.6971452213487794
0.7200000000000002,0.9277777777777778,0.6510721247563352,0.7651775486827033,0.6923714759535655
0.7300000000000002,0.9255014326647565,0.6296296296296297,0.7494199535962877,0.6726364014993753
0.7400000000000002,0.9239766081871345,0.6159844054580896,0.7391812865497076,0.6599832915622389
0.7500000000000002,0.9325153374233128,0.5925925925925926,0.7246722288438617,0.63919259882254
0.7600000000000002,0.9341692789968652,0.580896686159844,0.7163461538461539,0.6284268241248419
0.7700000000000002,0.9415584415584416,0.5653021442495126,0.7064555420219245,0.614406779661017
0.7800000000000001,0.9405940594059405,0.5555555555555556,0.6985294117647058,0.6050955414012739
0.7900000000000001,0.9389830508474576,0.5399610136452242,0.6856435643564357,0.590115040477205
0.8000000000000002,0.9442508710801394,0.5282651072124757,0.6775,0.579307396323215
0.8100000000000002,0.9525547445255474,0.5087719298245614,0.6632782719186785,0.561049011177988
0.8200000000000002,0.950381679389313,0.4853801169590643,0.6425806451612903,0.5380293863439931
0.8300000000000002,0.9585062240663901,0.4502923976608187,0.6127320954907162,0.5037069341474052
0.8400000000000002,0.9601769911504425,0.42300194931773877,0.5872801082543978,0.47629499561018435
0.8500000000000002,0.9596412556053812,0.4171539961013645,0.5815217391304348,0.4703296703296703
0.8600000000000002,0.9579439252336449,0.3996101364522417,0.5639614855570839,0.45233892321270963
0.8700000000000002,0.9558823529411765,0.38011695906432746,0.5439330543933054,0.4321808510638298
0.8800000000000002,0.9641025641025641,0.3664717348927875,0.5310734463276836,0.4183355585224744
0.8900000000000002,0.9623655913978495,0.3489278752436647,0.5121602288984263,0.3999106344950849
0.9000000000000002,0.9722222222222222,0.341130604288499,0.5050505050505051,0.3920250896057348
0.9100000000000003,0.9753086419753086,0.3079922027290448,0.46814814814814815,0.3568202348690154
0.9200000000000003,0.9746835443037974,0.3001949317738791,0.45901639344262296,0.34841628959276016
0.9300000000000002,0.9741935483870968,0.29434697855750486,0.45209580838323354,0.3420933393747168
0.9400000000000002,0.9727891156462585,0.2787524366471735,0.43333333333333335,0.32514779445202363
